LATITUD;LONGITUD;DIA_SEMANA;MES_LARGO;DESCRIPCION_CONDUCTA;;;
4.010.530.463;-7.378.386.021;3;1;2395;;;
4.013.398.745;-7.376.291.752;5;3;2391;;;
4.018.065.033;-7.376.137.257;7;3;2396;;;
4.046.951.902;-7.376.790.654;6;9;2395;;;
3.975.853.424;-737.511.158;2;8;2691;;;
3.979.385.412;-7.376.107.216;7;8;2395;;;
3.983.903.458;-7.377.036.022;6;12;2392;;;
3.984.351.575;-7.376.553.536;5;11;2395;;;
3.985.401.865;-7.377.623.962;1;12;2395;;;
3.986.641.993;-7.377.132.893;4;10;2396;;;
3.997.130.744;-7.375.472.069;1;9;2394;;;
4.003.830.631;-7.377.437.592;7;11;2396;;;
4.024.700.534;-7.377.523.423;6;8;2396;;;
3.985.389.756;-7.377.733.708;7;7;2394;;;
4.020.806.331;-737.866.217;2;12;2395;;;
3.979.685.095;-7.375.261.784;4;8;2393;;;
3.980.530.629;-7.376.583.577;4;9;2396;;;
3.981.226.321;-7.374.695.302;1;7;2393;;;
3.981.397.568;-7.376.523.495;2;7;2395;;;
3.985.678.734;-7.375.484.944;7;8;2395;;;
3.985.732.249;-7.377.644.659;2;4;2394;;;
3.985.764.357;-7.376.738.072;6;7;2395;;;
3.985.807.169;-737.606.001;2;8;2395;;;
3.985.807.169;-7.376.047.135;6;4;2394;;;
3.985.914.198;-7.376.377.583;5;7;2393;;;
3.985.962.361;-7.376.977.861;3;9;2396;;;
3.986.085.444;-7.376.231.671;7;9;2393;;;
3.986.449.342;-7.376.156.569;5;7;2395;;;
3.986.470.747;-7.376.053.572;3;3;2394;;;
3.986.641.993;-737.574.029;5;8;2395;;;
3.986.877.457;-7.377.025.605;3;8;2395;;;
3.986.941.674;-7.376.132.966;2;7;2395;;;
3.987.348.383;-7.375.848.651;3;9;2395;;;
3.987.476.817;-7.376.210.213;6;9;2395;;;
3.987.567.792;-7.377.136.916;3;8;2393;;;
3.987.926.337;-7.376.111.508;6;4;2394;;;
3.987.947.743;-7.375.733.853;6;9;2395;;;
3.988.033.366;-7.376.343.251;1;9;2393;;;
3.988.547.103;-7.376.373.292;6;7;2395;;;
3.989.103.651;-7.376.519.204;3;9;2395;;;
3.989.232.085;-7.377.699.376;2;7;2393;;;
3.989.911.715;-7.375.457.049;5;9;2396;;;
399.091.243;-7.375.438.273;5;7;2396;;;
3.991.353.921;-7.377.817.125;2;9;2396;;;
3.991.415.462;-7.377.330.304;1;9;2393;;;
3.991.715.141;-7.375.454.903;4;9;2395;;;
3.992.614.176;-7.378.767.968;1;7;2395;;;
3.993.079.336;-7.374.636.394;7;8;2394;;;
3.994.471.109;-7.378.154.278;4;7;2396;;;
3.994.968.788;-7.376.484.871;5;7;2395;;;
3.995.760.793;-7.376.416.207;5;7;2395;;;
3.995.889.226;-7.375.785.351;1;3;2394;;;
3.997.965.557;-7.376.635.075;7;9;2395;;;
399.809.399;-7.376.351.834;5;7;2395;;;
3.999.335.505;-7.375.506.402;7;9;2394;;;
4.001.415.652;-7.376.318.421;7;2;2394;;;
4.002.053.989;-7.377.439.738;5;9;2395;;;
3.981.037.491;-7.374.927.303;2;2;2391;;;
398.125.155;-7.374.794.266;5;2;2391;;;
3.981.675.844;-7.374.871.254;3;2;2391;;;
39.874.126;-737.343.359;3;2;2391;;;
3.995.204.249;-7.372.832.776;3;2;2391;;;
4.006.895.407;-7.378.394.863;4;2;2391;;;
4.013.112.385;-7.377.478.652;6;5;2394;;;
3.976.118.699;-737.611.879;7;7;2395;;;
3.984.796.827;-737.603.507;2;7;2395;;;
3.985.084.435;-7.376.907.089;1;7;2395;;;
3.988.392.237;-7.376.603.252;1;6;2691;;;
3.988.833.726;-7.377.271.832;6;5;2395;;;
3.990.638.728;-7.375.706.381;7;7;2396;;;
3.995.258.943;-7.376.523.184;6;7;2396;;;
3.975.575.146;-7.376.873.255;7;8;2396;;;
3.975.617.958;-7.376.476.288;6;6;2394;;;
3.975.896.236;-7.376.196.266;2;1;2393;;;
3.977.137.785;-737.684.536;2;8;2395;;;
3.977.951.213;-737.572.527;4;8;2393;;;
3.979.373.551;-737.568.446;2;4;2395;;;
3.979.428.224;-7.375.695.229;5;5;2391;;;
3.980.466.411;-7.376.397.968;5;8;2394;;;
3.980.733.985;-7.376.467.705;7;5;2393;;;
3.981.927.363;-737.625.742;2;2;2395;;;
3.982.189.585;-7.375.931.263;6;9;2394;;;
3.982.414.347;-7.376.565.874;4;1;2691;;;
3.982.574.891;-7.376.637.221;7;8;2394;;;
3.983.356.204;-7.376.947.284;7;8;2396;;;
3.983.388.313;-7.377.871.037;5;8;2396;;;
3.983.413.161;-7.376.323.816;6;8;2395;;;
398.350.191;-7.375.023.644;3;8;2395;;;
3.983.752.212;-7.377.509.475;6;2;2395;;;
3.984.544.227;-7.377.207.131;1;2;2395;;;
3.984.822.503;-7.376.821.757;5;6;2395;;;
3.985.046.166;-7.376.093.903;3;8;2395;;;
3.985.170.347;-7.376.174.359;6;1;2395;;;
398.624.648;-7.376.481.404;2;8;2393;;;
3.986.288.798;-737.667.048;3;5;2394;;;
3.986.342.313;-7.375.965.596;3;8;2396;;;
398.634.884;-7.376.045.504;5;8;2395;;;
3.986.353.016;-7.375.770.331;2;8;2395;;;
3.986.449.342;-7.376.231.671;3;9;2395;;;
3.986.512.077;-7.377.068.584;7;8;2396;;;
3.986.652.696;-7.376.220.942;6;3;2393;;;
3.986.735.777;-7.376.138.589;4;8;2395;;;
3.987.093.406;-7.375.954.412;5;8;2395;;;
398.711.292;-7.377.564.192;7;8;2396;;;
